"","id","bf1","bf2","bf3","bf4","bf5","bf6","bf7","bf8","bf9","bf10","age","nation","school","gender"
"60",60,3,3,3,3,3,4,2,3,4,3,21,"1",3,"männlich"
"61",61,4,3,1,2,5,5,1,2,5,1,23,"1",3,"weiblich"
"62",62,4,3,4,3,4,5,4,5,4,3,25,"1",3,"weiblich"
"63",63,5,5,3,5,3,4,3,5,4,4,18,"1",3,"männlich"
"64",64,4,5,5,4,5,3,5,4,5,4,22,"1",3,"männlich"
"65",65,5,5,4,5,4,5,3,5,4,5,24,"1",3,"weiblich"
"66",66,2,4,3,5,3,5,3,4,4,5,21,"1",3,"männlich"
"67",67,5,5,3,3,4,5,3,3,4,3,25,"1",3,"weiblich"
"68",68,3,4,3,4,4,4,3,3,4,4,20,"1",3,"weiblich"
"69",69,3,4,3,5,5,4,3,5,5,5,21,"1",3,"männlich"
"70",70,4,4,4,5,3,4,4,4,3,4,22,"1",3,"männlich"
"71",71,1,3,5,4,4,1,5,2,4,3,21,"1",3,"männlich"
"72",72,5,4,2,4,3,5,2,4,2,4,21,"1",3,"männlich"
"73",73,5,4,4,4,4,4,4,4,4,5,21,"1",3,"weiblich"
"74",74,5,3,3,5,4,5,3,2,3,5,21,"1",3,"männlich"
"75",75,5,5,5,5,4,5,4,5,4,5,28,"15",3,"weiblich"
"76",76,5,4,4,4,4,5,4,4,4,4,25,"1",3,"männlich"
"77",77,2,2,2,4,4,3,2,2,5,4,20,"1",3,"männlich"
"78",78,4,3,2,3,2,4,2,3,2,4,23,"1",3,"männlich"
"79",79,4,5,4,5,4,5,4,5,4,4,19,"1",3,"männlich"
"80",80,5,5,4,3,4,5,4,4,4,3,19,"1",3,"männlich"
"81",81,4,4,2,2,3,4,3,4,3,2,22,"1",3,"weiblich"
"82",82,4,4,3,5,3,5,1,4,3,4,22,"1",3,"weiblich"
"83",83,4,3,3,3,4,4,3,3,4,4,20,"1",3,"männlich"
"84",84,5,4,3,4,4,5,3,4,4,4,24,"1",3,"männlich"
"85",85,5,4,4,4,4,5,4,3,4,4,20,"1",3,"männlich"
"86",86,4,3,3,3,4,4,2,3,4,3,19,"1",3,"männlich"
"87",87,2,3,3,2,4,4,3,3,4,3,21,"1",3,"männlich"
